GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.util.kotlin.mybatis3,MapperSupportFunctionsKt.count.new Function1() {...},0,14,0,0,0,3,0,1,0,1
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.util.kotlin.mybatis3,MapperSupportFunctionsKt.countDistinct.new Function1() {...},0,14,0,0,0,3,0,1,0,1
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.util.kotlin.mybatis3,MapperSupportFunctionsKt,0,349,0,0,0,22,0,15,0,15
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.util.kotlin.mybatis3,MapperSupportFunctionsKt.selectOne.new Function1() {...},0,14,0,0,0,3,0,1,0,1
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.util.kotlin.mybatis3,MapperSupportFunctionsKt.selectList.new Function1() {...},0,14,0,0,0,3,0,1,0,1
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.util.kotlin.mybatis3,MapperSupportFunctionsKt.selectDistinct.new Function1() {...},0,14,0,0,0,3,0,1,0,1
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.util.kotlin.mybatis3,ProviderBuilderFunctionsKt,0,252,0,0,0,14,0,14,0,14
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.delete.render,DeleteRenderer,0,89,0,0,0,24,0,8,0,8
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.delete.render,DefaultDeleteStatementProvider,0,27,0,0,0,7,0,4,0,4
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.delete.render,DeleteRenderer.Builder,0,19,0,0,0,6,0,4,0,4
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.delete.render,DefaultDeleteStatementProvider.Builder,0,25,0,0,0,7,0,4,0,4
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.join,EqualTo,0,6,0,0,0,3,0,2,0,2
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.join,JoinSpecification,0,39,0,0,0,9,0,5,0,5
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.join,JoinModel,0,32,0,0,0,9,0,4,0,4
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.join,JoinSpecification.Builder,0,38,0,0,0,11,0,6,0,6
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.join,JoinCondition,0,9,0,0,0,4,0,2,0,2
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.join,JoinCriterion.Builder,0,24,0,0,0,8,0,5,0,5
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.join,JoinType,0,67,0,0,0,12,0,4,0,4
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.join,JoinCriterion,0,35,0,0,0,9,0,5,0,5
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.render,PagingModelRenderer.Builder,0,24,0,0,0,8,0,5,0,5
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.render,FetchFirstPagingModelRenderer,0,137,0,0,0,29,0,10,0,10
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.render,TableExpressionRenderer.Builder,0,24,0,0,0,8,0,5,0,5
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.render,QueryExpressionRenderer.Builder,0,24,0,0,0,8,0,5,0,5
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.render,SelectRenderer.Builder,0,28,0,0,0,9,0,6,0,6
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.render,DefaultSelectStatementProvider,0,28,0,0,0,7,0,4,0,4
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.render,JoinRenderer.Builder,0,24,0,0,0,8,0,5,0,5
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.render,SelectRenderer,0,147,0,2,0,39,0,12,0,11
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.render,TableExpressionRenderer,0,107,0,0,0,24,0,6,0,6
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.render,JoinRenderer,0,122,0,0,0,25,0,7,0,7
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.render,PagingModelRenderer,0,55,0,0,0,10,0,4,0,4
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.render,QueryExpressionRenderer,0,233,0,2,0,54,0,18,0,17
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.render,LimitAndOffsetPagingModelRenderer,0,87,0,0,0,20,0,5,0,5
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.select.render,DefaultSelectStatementProvider.Builder,0,25,0,0,0,7,0,4,0,4
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.util.kotlin.model,ModelBuilderFunctionsKt,0,329,0,0,0,20,0,14,0,14
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.where.render,WhereClauseProvider.Builder,0,25,0,0,0,7,0,4,0,4
MyBatis Dynamic SQL,org.mybatis.dynamic.sql.where.render,RenderedCriterion.Builder,0,19,0,0,0,6,0,4,0,4
